season,competition,matchday,date,venue,club,opponent,result,playing_position,minute,at_score,type,goal_assist,player_name,extra_time,penality_time,player_goal_number,opponent_score,club_score,year,month,day,day_name,month_name,season_time,match_periods
14//15,LaLiga,25,2015-03-01,H,Real Madrid,Villarreal CF,1:01,CF,52,1:00,Penalty,no assist,ronaldo,False,False,1,1,1,2015,3,1,Sunday,March,end,second time
14//15,UEFA Champions League,last 16,2015-03-10,H,Real Madrid,FC Schalke 04,3:04,CF,25,1:01,Header,Toni Kroos,ronaldo,False,False,1,4,3,2015,3,10,Tuesday,March,end,first half
14//15,UEFA Champions League,last 16,2015-03-10,H,Real Madrid,FC Schalke 04,3:04,CF,45,2:02,Header,Fabio CoentrÃ£o,ronaldo,False,False,2,4,3,2015,3,10,Tuesday,March,end,first half
14//15,LaLiga,28,2015-03-22,A,Real Madrid,FC Barcelona,2:01,LW,31,1:01,Right-footed shot,Karim Benzema,ronaldo,False,False,1,2,1,2015,3,22,Sunday,March,end,first half
14//15,LaLiga,29,2015-04-05,H,Real Madrid,Granada CF,9:01,CF,30,2:00,Right-footed shot,James Rodriguez,ronaldo,False,False,2,1,9,2015,4,5,Sunday,April,end,first half
14//15,LaLiga,29,2015-04-05,H,Real Madrid,Granada CF,9:01,CF,36,3:00,Right-footed shot,James Rodriguez,ronaldo,False,False,3,1,9,2015,4,5,Sunday,April,end,first half
14//15,LaLiga,29,2015-04-05,H,Real Madrid,Granada CF,9:01,CF,38,4:00,Long distance kick,Gareth Bale,ronaldo,False,False,4,1,9,2015,4,5,Sunday,April,end,first half
14//15,LaLiga,29,2015-04-05,H,Real Madrid,Granada CF,9:01,CF,54,6:00,Header,Gareth Bale,ronaldo,False,False,6,1,9,2015,4,5,Sunday,April,end,second time
14//15,LaLiga,29,2015-04-05,H,Real Madrid,Granada CF,9:01,CF,90,9:01,Header,Luka Modric,ronaldo,False,False,9,1,9,2015,4,5,Sunday,April,end,second time
14//15,LaLiga,30,2015-04-08,A,Real Madrid,Rayo Vallecano,0:02,LW,68,0:01,Header,Daniel Carvajal,ronaldo,False,False,1,0,2,2015,4,8,Wednesday,April,end,second time
14//15,LaLiga,31,2015-04-11,H,Real Madrid,SD Eibar,3:00,LW,21,1:00,Direct free kick,no assist,ronaldo,False,False,1,0,3,2015,4,11,Saturday,April,end,first half
14//15,LaLiga,32,2015-04-18,H,Real Madrid,Malaga CF,3:01,CF,90+2,3:01,Left-footed shot,Chicharito,ronaldo,False,False,3,1,3,2015,4,18,Saturday,April,end,plus 90
14//15,LaLiga,35,2015-05-02,A,Real Madrid,Sevilla FC,2:03,CF,36,0:01,Header,Isco,ronaldo,False,False,1,2,3,2015,5,2,Saturday,May,end,first half
14//15,LaLiga,35,2015-05-02,A,Real Madrid,Sevilla FC,2:03,CF,37,0:02,Right-footed shot,Chicharito,ronaldo,False,False,2,2,3,2015,5,2,Saturday,May,end,first half
14//15,LaLiga,35,2015-05-02,A,Real Madrid,Sevilla FC,2:03,CF,69,1:03,Header,Gareth Bale,ronaldo,False,False,3,2,3,2015,5,2,Saturday,May,end,second time
14//15,UEFA Champions League,semi-finals,2015-05-05,A,Real Madrid,Juventus FC,2:01,CF,27,1:01,Header,James Rodriguez,ronaldo,False,False,1,2,1,2015,5,5,Tuesday,May,end,first half
14//15,UEFA Champions League,semi-finals,2015-05-13,H,Real Madrid,Juventus FC,1:01,LW,23,1:00,Penalty,no assist,ronaldo,False,False,1,1,1,2015,5,13,Wednesday,May,end,first half
14//15,LaLiga,37,2015-05-17,A,Real Madrid,RCD Espanyol Barcelona,1:04,LW,59,0:01,Left-footed shot,Karim Benzema,ronaldo,False,False,1,1,4,2015,5,17,Sunday,May,end,second time
14//15,LaLiga,37,2015-05-17,A,Real Madrid,RCD Espanyol Barcelona,1:04,LW,83,1:03,Right-footed shot,Chicharito,ronaldo,False,False,3,1,4,2015,5,17,Sunday,May,end,second time
14//15,LaLiga,37,2015-05-17,A,Real Madrid,RCD Espanyol Barcelona,1:04,LW,90+1,1:04,Header,James Rodriguez,ronaldo,False,False,4,1,4,2015,5,17,Sunday,May,end,plus 90
14//15,LaLiga,38,2015-05-23,H,Real Madrid,Getafe CF,7:03,LW,13,1:00,Header,Marcelo,ronaldo,False,False,1,3,7,2015,5,23,Saturday,May,end,first half
14//15,LaLiga,38,2015-05-23,H,Real Madrid,Getafe CF,7:03,LW,32,2:02,Direct free kick,no assist,ronaldo,False,False,2,3,7,2015,5,23,Saturday,May,end,first half
14//15,LaLiga,38,2015-05-23,H,Real Madrid,Getafe CF,7:03,LW,34,3:02,Penalty,no assist,ronaldo,False,False,3,3,7,2015,5,23,Saturday,May,end,first half
15//16,LaLiga,3,2015-09-12,A,Real Madrid,RCD Espanyol Barcelona,0:06,LW,7,0:01,Right-footed shot,Luka Modric,ronaldo,False,False,1,0,6,2015,9,12,Saturday,September,start,first half
15//16,LaLiga,3,2015-09-12,A,Real Madrid,RCD Espanyol Barcelona,0:06,LW,17,0:02,Penalty,no assist,ronaldo,False,False,2,0,6,2015,9,12,Saturday,September,start,first half
15//16,LaLiga,3,2015-09-12,A,Real Madrid,RCD Espanyol Barcelona,0:06,LW,20,0:03,Left-footed shot,Gareth Bale,ronaldo,False,False,3,0,6,2015,9,12,Saturday,September,start,first half
15//16,LaLiga,3,2015-09-12,A,Real Madrid,RCD Espanyol Barcelona,0:06,LW,62,0:05,Right-footed shot,Gareth Bale,ronaldo,False,False,5,0,6,2015,9,12,Saturday,September,start,second time
15//16,LaLiga,3,2015-09-12,A,Real Madrid,RCD Espanyol Barcelona,0:06,LW,81,0:06,Right-footed shot,Lucas Vazquez,ronaldo,False,False,6,0,6,2015,9,12,Saturday,September,start,second time
15//16,UEFA Champions League,group stage,2015-09-15,H,Real Madrid,Shakhtar Donetsk,4:00,LW,56,2:00,Penalty,no assist,ronaldo,False,False,2,0,4,2015,9,15,Tuesday,September,start,second time
15//16,UEFA Champions League,group stage,2015-09-15,H,Real Madrid,Shakhtar Donetsk,4:00,LW,64,3:00,Penalty,no assist,ronaldo,False,False,3,0,4,2015,9,15,Tuesday,September,start,second time
15//16,UEFA Champions League,group stage,2015-09-15,H,Real Madrid,Shakhtar Donetsk,4:00,LW,82,4:00,Header,Gareth Bale,ronaldo,False,False,4,0,4,2015,9,15,Tuesday,September,start,second time
15//16,UEFA Champions League,group stage,2015-09-30,A,Real Madrid,MalmÃ¶ FF,0:02,LW,29,0:01,Right-footed shot,Isco,ronaldo,False,False,1,0,2,2015,9,30,Wednesday,September,start,first half
15//16,UEFA Champions League,group stage,2015-09-30,A,Real Madrid,MalmÃ¶ FF,0:02,LW,90,0:02,Left-footed shot,Lucas Vazquez,ronaldo,False,False,2,0,2,2015,9,30,Wednesday,September,start,second time
15//16,LaLiga,8,2015-10-17,H,Real Madrid,Levante UD,3:00,CF,30,2:00,Right-footed shot,Toni Kroos,ronaldo,False,False,2,0,3,2015,10,17,Saturday,October,start,first half
15//16,LaLiga,9,2015-10-24,A,Real Madrid,Celta de Vigo,1:03,CF,8,0:01,Right-footed shot,Lucas Vazquez,ronaldo,False,False,1,1,3,2015,10,24,Saturday,October,start,first half
15//16,LaLiga,10,2015-10-31,H,Real Madrid,UD Las Palmas,3:01,CF,14,2:00,Header,Marcelo,ronaldo,False,False,2,1,3,2015,10,31,Saturday,October,start,first half
15//16,UEFA Champions League,group stage,2015-11-25,A,Real Madrid,Shakhtar Donetsk,3:04,CF,18,0:01,Header,Gareth Bale,ronaldo,False,False,1,3,4,2015,11,25,Wednesday,November,middle,first half
15//16,UEFA Champions League,group stage,2015-11-25,A,Real Madrid,Shakhtar Donetsk,3:04,CF,70,0:04,Right-footed shot,Gareth Bale,ronaldo,False,False,4,3,4,2015,11,25,Wednesday,November,middle,second time
15//16,LaLiga,13,2015-11-29,A,Real Madrid,SD Eibar,0:02,CF,82,0:02,Penalty,no assist,ronaldo,False,False,2,0,2,2015,11,29,Sunday,November,middle,second time
15//16,LaLiga,14,2015-12-05,H,Real Madrid,Getafe CF,4:01,LW,38,4:00,Right-footed shot,Toni Kroos,ronaldo,False,False,4,1,4,2015,12,5,Saturday,December,middle,first half
15//16,UEFA Champions League,group stage,2015-12-08,H,Real Madrid,MalmÃ¶ FF,8:00,LW,39,3:00,Direct free kick,no assist,ronaldo,False,False,3,0,8,2015,12,8,Tuesday,December,middle,first half
15//16,UEFA Champions League,group stage,2015-12-08,H,Real Madrid,MalmÃ¶ FF,8:00,LW,47,4:00,Tap-in,Lucas Vazquez,ronaldo,False,False,4,0,8,2015,12,8,Tuesday,December,middle,second time
15//16,UEFA Champions League,group stage,2015-12-08,H,Real Madrid,MalmÃ¶ FF,8:00,LW,50,5:00,Right-footed shot,Danilo,ronaldo,False,False,5,0,8,2015,12,8,Tuesday,December,middle,second time
15//16,UEFA Champions League,group stage,2015-12-08,H,Real Madrid,MalmÃ¶ FF,8:00,LW,59,6:00,Right-footed shot,Isco,ronaldo,False,False,6,0,8,2015,12,8,Tuesday,December,middle,second time
15//16,LaLiga,16,2015-12-20,H,Real Madrid,Rayo Vallecano,10:02,LW,30,3:02,Penalty,no assist,ronaldo,False,False,3,2,10,2015,12,20,Sunday,December,middle,first half
15//16,LaLiga,16,2015-12-20,H,Real Madrid,Rayo Vallecano,10:02,LW,54,6:02,Header,James Rodriguez,ronaldo,False,False,6,2,10,2015,12,20,Sunday,December,middle,second time
15//16,LaLiga,17,2015-12-30,H,Real Madrid,Real Sociedad,3:01,LW,42,1:00,Penalty,no assist,ronaldo,False,False,1,1,3,2015,12,30,Wednesday,December,middle,first half
15//16,LaLiga,17,2015-12-30,H,Real Madrid,Real Sociedad,3:01,LW,68,2:01,Left-footed shot,Marcelo,ronaldo,False,False,2,1,3,2015,12,30,Wednesday,December,middle,second time
15//16,LaLiga,20,2016-01-17,H,Real Madrid,Sporting GijÃ³n,5:01,LW,9,2:00,Left-footed shot,Karim Benzema,ronaldo,False,False,2,1,5,2016,1,17,Sunday,January,middle,first half
15//16,LaLiga,20,2016-01-17,H,Real Madrid,Sporting GijÃ³n,5:01,LW,18,4:00,Left-footed shot,Daniel Carvajal,ronaldo,False,False,4,1,5,2016,1,17,Sunday,January,middle,first half
15//16,LaLiga,22,2016-01-31,H,Real Madrid,RCD Espanyol Barcelona,6:00,LW,12,2:00,Penalty,no assist,ronaldo,False,False,2,0,6,2016,1,31,Sunday,January,middle,first half
15//16,LaLiga,22,2016-01-31,H,Real Madrid,RCD Espanyol Barcelona,6:00,LW,45,4:00,Left-footed shot,Toni Kroos,ronaldo,False,False,4,0,6,2016,1,31,Sunday,January,middle,first half
15//16,LaLiga,22,2016-01-31,H,Real Madrid,RCD Espanyol Barcelona,6:00,LW,82,5:00,Header,Jese,ronaldo,False,False,5,0,6,2016,1,31,Sunday,January,middle,second time
15//16,LaLiga,24,2016-02-13,H,Real Madrid,Athletic Bilbao,4:02,LW,3,1:00,Right-footed shot,Karim Benzema,ronaldo,False,False,1,2,4,2016,2,13,Saturday,February,middle,first half
15//16,LaLiga,24,2016-02-13,H,Real Madrid,Athletic Bilbao,4:02,LW,87,4:01,Right-footed shot,Lucas Vazquez,ronaldo,False,False,4,2,4,2016,2,13,Saturday,February,middle,second time
15//16,UEFA Champions League,last 16,2016-02-17,A,Real Madrid,AS Roma,0:02,LW,57,0:01,Right-footed shot,Marcelo,ronaldo,False,False,1,0,2,2016,2,17,Wednesday,February,middle,second time
15//16,LaLiga,25,2016-02-21,A,Real Madrid,Malaga CF,1:01,LW,33,0:01,Header,Toni Kroos,ronaldo,False,False,1,1,1,2016,2,21,Sunday,February,middle,first half
15//16,LaLiga,27,2016-03-02,A,Real Madrid,Levante UD,1:03,LW,34,0:01,Penalty,no assist,ronaldo,False,False,1,1,3,2016,3,2,Wednesday,March,end,first half
15//16,LaLiga,28,2016-03-05,H,Real Madrid,Celta de Vigo,7:01,LW,50,2:00,Long distance kick,Sergio Ramos,ronaldo,False,False,2,1,7,2016,3,5,Saturday,March,end,second time
15//16,LaLiga,28,2016-03-05,H,Real Madrid,Celta de Vigo,7:01,LW,58,3:00,Direct free kick,no assist,ronaldo,False,False,3,1,7,2016,3,5,Saturday,March,end,second time
15//16,LaLiga,28,2016-03-05,H,Real Madrid,Celta de Vigo,7:01,LW,64,4:01,Right-footed shot,Isco,ronaldo,False,False,4,1,7,2016,3,5,Saturday,March,end,second time
15//16,LaLiga,28,2016-03-05,H,Real Madrid,Celta de Vigo,7:01,LW,76,5:01,Header,Jese,ronaldo,False,False,5,1,7,2016,3,5,Saturday,March,end,second time
15//16,UEFA Champions League,last 16,2016-03-08,H,Real Madrid,AS Roma,2:00,CF,64,1:00,Right-footed shot,Lucas Vazquez,ronaldo,False,False,1,0,2,2016,3,8,Tuesday,March,end,second time
15//16,LaLiga,30,2016-03-20,H,Real Madrid,Sevilla FC,4:00,LW,64,2:00,Left-footed shot,Danilo,ronaldo,False,False,2,0,4,2016,3,20,Sunday,March,end,second time
15//16,LaLiga,31,2016-04-02,A,Real Madrid,FC Barcelona,1:02,LW,85,1:02,Right-footed shot,Gareth Bale,ronaldo,False,False,2,1,2,2016,4,2,Saturday,April,end,second time
15//16,LaLiga,32,2016-04-09,H,Real Madrid,SD Eibar,4:00,CF,19,3:00,Right-footed shot,Jese,ronaldo,False,False,3,0,4,2016,4,9,Saturday,April,end,first half
15//16,UEFA Champions League,quarter-finals,2016-04-12,H,Real Madrid,VfL Wolfsburg,3:00,LW,16,1:00,Right-footed shot,Daniel Carvajal,ronaldo,False,False,1,0,3,2016,4,12,Tuesday,April,end,first half
15//16,UEFA Champions League,quarter-finals,2016-04-12,H,Real Madrid,VfL Wolfsburg,3:00,LW,17,2:00,Header,Toni Kroos,ronaldo,False,False,2,0,3,2016,4,12,Tuesday,April,end,first half
15//16,UEFA Champions League,quarter-finals,2016-04-12,H,Real Madrid,VfL Wolfsburg,3:00,LW,77,3:00,Direct free kick,no assist,ronaldo,False,False,3,0,3,2016,4,12,Tuesday,April,end,second time
15//16,LaLiga,33,2016-04-16,A,Real Madrid,Getafe CF,1:05,LW,90+2,1:05,Left-footed shot,Jese,ronaldo,False,False,5,1,5,2016,4,16,Saturday,April,end,plus 90
15//16,LaLiga,37,2016-05-08,H,Real Madrid,Valencia CF,3:02,LW,26,1:00,Right-footed shot,Marcelo,ronaldo,False,False,1,2,3,2016,5,8,Sunday,May,end,first half
15//16,LaLiga,37,2016-05-08,H,Real Madrid,Valencia CF,3:02,LW,59,3:01,Left-footed shot,James Rodriguez,ronaldo,False,False,3,2,3,2016,5,8,Sunday,May,end,second time
15//16,LaLiga,38,2016-05-14,A,Real Madrid,Deportivo de La CoruÃ±a,0:02,LW,8,0:01,Left-footed shot,Karim Benzema,ronaldo,False,False,1,0,2,2016,5,14,Saturday,May,end,first half
15//16,LaLiga,38,2016-05-14,A,Real Madrid,Deportivo de La CoruÃ±a,0:02,LW,25,0:02,Header,Toni Kroos,ronaldo,False,False,2,0,2,2016,5,14,Saturday,May,end,first half
16//17,LaLiga,3,2016-09-10,H,Real Madrid,CA Osasuna,5:02,LW,6,1:00,Right-footed shot,Gareth Bale,ronaldo,False,False,1,2,5,2016,9,10,Saturday,September,start,first half
16//17,UEFA Champions League,group stage,2016-09-14,H,Real Madrid,Sporting CP,2:01,LW,89,1:01,Direct free kick,no assist,ronaldo,False,False,1,1,2,2016,9,14,Wednesday,September,start,second time
16//17,UEFA Champions League,group stage,2016-09-27,A,Real Madrid,Borussia Dortmund,2:02,LW,17,0:01,Right-footed shot,Gareth Bale,ronaldo,False,False,1,2,2,2016,9,27,Tuesday,September,start,first half
16//17,LaLiga,8,2016-10-15,A,Real Madrid,Real Betis Balompie,1:06,LW,78,1:06,Right-footed shot,alvaro Morata,ronaldo,False,False,6,1,6,2016,10,15,Saturday,October,start,second time
16//17,LaLiga,10,2016-10-29,A,Real Madrid,Deportivo Alaves,1:04,LW,17,1:01,Penalty,no assist,ronaldo,False,False,1,1,4,2016,10,29,Saturday,October,start,first half
16//17,LaLiga,10,2016-10-29,A,Real Madrid,Deportivo Alaves,1:04,LW,33,1:02,Right-footed shot,Karim Benzema,ronaldo,False,False,2,1,4,2016,10,29,Saturday,October,start,first half
16//17,LaLiga,10,2016-10-29,A,Real Madrid,Deportivo Alaves,1:04,LW,88,1:04,Right-footed shot,Marcelo,ronaldo,False,False,4,1,4,2016,10,29,Saturday,October,start,second time
16//17,LaLiga,12,2016-11-19,A,Real Madrid,Atletico de Madrid,0:03,CF,23,0:01,Direct free kick,no assist,ronaldo,False,False,1,0,3,2016,11,19,Saturday,November,middle,first half
16//17,LaLiga,12,2016-11-19,A,Real Madrid,Atletico de Madrid,0:03,CF,71,0:02,Penalty,no assist,ronaldo,False,False,2,0,3,2016,11,19,Saturday,November,middle,second time
16//17,LaLiga,12,2016-11-19,A,Real Madrid,Atletico de Madrid,0:03,CF,77,0:03,Right-footed shot,Gareth Bale,ronaldo,False,False,3,0,3,2016,11,19,Saturday,November,middle,second time
16//17,LaLiga,13,2016-11-26,H,Real Madrid,Sporting GijÃ³n,2:01,LW,5,1:00,Penalty,no assist,ronaldo,False,False,1,1,2,2016,11,26,Saturday,November,middle,first half
16//17,LaLiga,13,2016-11-26,H,Real Madrid,Sporting GijÃ³n,2:01,LW,18,2:00,Header,Nacho Fernandez,ronaldo,False,False,2,1,2,2016,11,26,Saturday,November,middle,first half
16//17,FIFA Club World Cup,semi-finals,2016-12-15,A,Real Madrid,CF America,0:02,LW,90+3,0:02,Right-footed shot,James Rodriguez,ronaldo,False,False,2,0,2,2016,12,15,Thursday,December,middle,plus 90
16//17,FIFA Club World Cup,final,2016-12-18,H,Real Madrid,Kashima Antlers,4:2 AET,LW,60,2:02,Penalty,no assist,ronaldo,True,False,2,2,4,2016,12,18,Sunday,December,middle,second time
16//17,FIFA Club World Cup,final,2016-12-18,H,Real Madrid,Kashima Antlers,4:2 AET,LW,97,3:02,Left-footed shot,Karim Benzema,ronaldo,True,False,3,2,4,2016,12,18,Sunday,December,middle,extra time
16//17,FIFA Club World Cup,final,2016-12-18,H,Real Madrid,Kashima Antlers,4:2 AET,LW,104,4:02,Left-footed shot,Toni Kroos,ronaldo,True,False,4,2,4,2016,12,18,Sunday,December,middle,extra time
16//17,LaLiga,17,2017-01-07,H,Real Madrid,Granada CF,5:00,LW,27,3:00,Header,Marcelo,ronaldo,False,False,3,0,5,2017,1,7,Saturday,January,middle,first half
16//17,LaLiga,18,2017-01-15,A,Real Madrid,Sevilla FC,2:01,CF,67,0:01,Penalty,no assist,ronaldo,False,False,1,2,1,2017,1,15,Sunday,January,middle,second time
16//17,Copa del Rey,quarter-finals,2017-01-25,A,Real Madrid,Celta de Vigo,2:02,CF,62,1:01,Direct free kick,no assist,ronaldo,False,False,1,2,2,2017,1,25,Wednesday,January,middle,second time
16//17,LaLiga,20,2017-01-29,H,Real Madrid,Real Sociedad,3:00,LW,51,2:00,Right-footed shot,Mateo Kovacic,ronaldo,False,False,2,0,3,2017,1,29,Sunday,January,middle,second time
16//17,LaLiga,22,2017-02-11,A,Real Madrid,CA Osasuna,1:03,CF,24,0:01,Right-footed shot,Karim Benzema,ronaldo,False,False,1,1,3,2017,2,11,Saturday,February,middle,first half
16//17,LaLiga,16,2017-02-22,A,Real Madrid,Valencia CF,2:01,LW,44,2:01,Header,Marcelo,ronaldo,False,False,1,2,1,2017,2,22,Wednesday,February,middle,first half
16//17,LaLiga,24,2017-02-26,A,Real Madrid,Villarreal CF,2:03,LW,74,2:02,Penalty,no assist,ronaldo,False,False,2,2,3,2017,2,26,Sunday,February,middle,second time
16//17,LaLiga,25,2017-03-01,H,Real Madrid,UD Las Palmas,3:03,LW,86,2:03,Penalty,no assist,ronaldo,False,False,2,3,3,2017,3,1,Wednesday,March,end,second time
16//17,LaLiga,25,2017-03-01,H,Real Madrid,UD Las Palmas,3:03,LW,89,3:03,Header,James Rodriguez,ronaldo,False,False,3,3,3,2017,3,1,Wednesday,March,end,second time
16//17,LaLiga,27,2017-03-12,H,Real Madrid,Real Betis Balompie,2:01,LW,41,1:01,Header,Marcelo,ronaldo,False,False,1,1,2,2017,3,12,Sunday,March,end,first half
16//17,UEFA Champions League,quarter-finals,2017-04-12,A,Real Madrid,Bayern Munich,1:02,LW,47,1:01,Right-footed shot,Daniel Carvajal,ronaldo,False,False,1,1,2,2017,4,12,Wednesday,April,end,second time
16//17,UEFA Champions League,quarter-finals,2017-04-12,A,Real Madrid,Bayern Munich,1:02,LW,77,1:02,Right-footed shot,Marco Asensio,ronaldo,False,False,2,1,2,2017,4,12,Wednesday,April,end,second time
16//17,UEFA Champions League,quarter-finals,2017-04-18,H,Real Madrid,Bayern Munich,4:2 AET,CF,76,1:01,Header,Casemiro,ronaldo,True,False,1,2,4,2017,4,18,Tuesday,April,end,second time
16//17,UEFA Champions League,quarter-finals,2017-04-18,H,Real Madrid,Bayern Munich,4:2 AET,CF,105,2:02,Left-footed shot,Sergio Ramos,ronaldo,True,False,2,2,4,2017,4,18,Tuesday,April,end,extra time
16//17,UEFA Champions League,quarter-finals,2017-04-18,H,Real Madrid,Bayern Munich,4:2 AET,CF,109,3:02,Right-footed shot,Marcelo,ronaldo,True,False,3,2,4,2017,4,18,Tuesday,April,end,extra time
16//17,LaLiga,35,2017-04-29,H,Real Madrid,Valencia CF,2:01,LW,27,1:00,Header,Daniel Carvajal,ronaldo,False,False,1,1,2,2017,4,29,Saturday,April,end,first half
16//17,UEFA Champions League,semi-finals,2017-05-02,H,Real Madrid,Atletico de Madrid,3:00,CF,10,1:00,Header,Casemiro,ronaldo,False,False,1,0,3,2017,5,2,Tuesday,May,end,first half
16//17,UEFA Champions League,semi-finals,2017-05-02,H,Real Madrid,Atletico de Madrid,3:00,CF,73,2:00,Right-footed shot,Karim Benzema,ronaldo,False,False,2,0,3,2017,5,2,Tuesday,May,end,second time
16//17,UEFA Champions League,semi-finals,2017-05-02,H,Real Madrid,Atletico de Madrid,3:00,CF,86,3:00,Right-footed shot,Lucas Vazquez,ronaldo,False,False,3,0,3,2017,5,2,Tuesday,May,end,second time
16//17,LaLiga,37,2017-05-14,H,Real Madrid,Sevilla FC,4:01,LW,23,2:00,Right-footed shot,Marcelo,ronaldo,False,False,2,1,4,2017,5,14,Sunday,May,end,first half
16//17,LaLiga,37,2017-05-14,H,Real Madrid,Sevilla FC,4:01,LW,78,3:01,Left-footed shot,Toni Kroos,ronaldo,False,False,3,1,4,2017,5,14,Sunday,May,end,second time
16//17,LaLiga,21,2017-05-17,A,Real Madrid,Celta de Vigo,1:04,CF,10,0:01,Left-footed shot,Karim Benzema,ronaldo,False,False,1,1,4,2017,5,17,Wednesday,May,end,first half
16//17,LaLiga,21,2017-05-17,A,Real Madrid,Celta de Vigo,1:04,CF,48,0:02,Left-footed shot,Isco,ronaldo,False,False,2,1,4,2017,5,17,Wednesday,May,end,second time
16//17,LaLiga,38,2017-05-21,A,Real Madrid,Malaga CF,0:02,CF,2,0:01,Right-footed shot,Isco,ronaldo,False,False,1,0,2,2017,5,21,Sunday,May,end,first half
16//17,UEFA Champions League,final,2017-06-03,A,Real Madrid,Juventus FC,1:04,CF,20,0:01,Right-footed shot,Daniel Carvajal,ronaldo,False,False,1,1,4,2017,6,3,Saturday,June,preseason,first half
16//17,UEFA Champions League,final,2017-06-03,A,Real Madrid,Juventus FC,1:04,CF,64,1:03,Right-footed shot,Luka Modric,ronaldo,False,False,3,1,4,2017,6,3,Saturday,June,preseason,second time
17//18,Supercopa,final,2017-08-13,A,Real Madrid,FC Barcelona,1:03,CF,80,1:02,Right-footed shot,Isco,ronaldo,False,False,2,1,3,2017,8,13,Sunday,August,start,second time
17//18,UEFA Champions League,group stage,2017-09-13,H,Real Madrid,APOEL Nicosia,3:00,CF,12,1:00,Counter attack goal,Gareth Bale,ronaldo,False,False,1,0,3,2017,9,13,Wednesday,September,start,first half
17//18,UEFA Champions League,group stage,2017-09-13,H,Real Madrid,APOEL Nicosia,3:00,CF,51,2:00,Penalty,no assist,ronaldo,False,False,2,0,3,2017,9,13,Wednesday,September,start,second time
17//18,UEFA Champions League,group stage,2017-09-26,A,Real Madrid,Borussia Dortmund,1:03,CF,49,0:02,Left-footed shot,Gareth Bale,ronaldo,False,False,2,1,3,2017,9,26,Tuesday,September,start,second time
17//18,UEFA Champions League,group stage,2017-09-26,A,Real Madrid,Borussia Dortmund,1:03,CF,79,1:03,Right-footed shot,Luka Modric,ronaldo,False,False,3,1,3,2017,9,26,Tuesday,September,start,second time
17//18,LaLiga,8,2017-10-14,A,Real Madrid,Getafe CF,1:02,CF,85,1:02,Right-footed shot,Isco,ronaldo,False,False,2,1,2,2017,10,14,Saturday,October,start,second time
